id	question	correctAnswer	answerA	answerB	answerC	answerD
102240	Which action is an example of an exothermic process?	C	baking bread	cooking an egg	making ice cubes	evaporation of water
102241	The reproductive structures on a flowering plant that are involved in generating seeds and fruit are located in the __________.	A	flower	roots	stem	leaves
102242	A student observes a glowing band across the night sky. This glowing band is most likely	B	orbiting planets in the solar system.	a partial view of the Milky Way galaxy.	an asteroid orbiting the Sun.	light from stars in a distant galaxy.
102243	If the same force acts on two different objects with different masses, then the object with the smaller mass will do what?	B	accelerate more slowly	accelerate more quickly	not accelerate	change direction
102244	Energy from the Sun reaches Earth by	A	radiation.	conduction.	convection.	thermal expansion.
102245	Vultures are scavengers that most likely help ecosystems by quickly consuming dead organisms and	C	speeding up the process of decay.	taking nonliving matter from the environment.	slowing the spread of disease.	helping to distribute seeds.
102246	If a fox and an eagle eat some of the same organisms in an ecosystem, the relationship between the fox and the eagle could be classified as	A	competition.	mutualism.	predation.	parasitism.
102247	A student predicts that if the air is calm on a specific night, a temperature inversion may occur. How could strong winds prevent a temperature inversion from forming?	C	by preventing the dissipation of hot gases emitted from fossil fuel combustion	by carrying cool air masses to higher altitudes that are much colder	by mixing the warm upper air layer with the cool lower air layer	by increasing the evaporation rate of cold surface water
102248	As part of a study, a scientist observed a number of different molecular changes in matter. Which of the following observations provides evidence of a physical change?	D	using heat to burn a log in a fireplace	using light to produce sugar in plants	a cake that was baked from many ingredients	a bottle that was broken into many small pieces
102249	Copernicus changed the way people viewed the solar system by	A	claiming Earth is in orbit about the Sun.	inventing, then improving, the telescope.	writing the theory of the infinite universe.	showing planetary orbits are elliptical.
102250	A team of scientists working on a new cancer treatment must make and record detailed observations of the cells during mitosis.  The BEST way to record these findings is with a(n) __________.	C	scientific map	scale model	scientific drawing	labeled diagram
102251	Which of the following does not affect the strength of an electromagnet?	B	number of times the wire is looped around the core	size of the object being attracted by the core	type of material in the core	amount of material in the core
